tract,year,shift,total_crimes,violent_crimes,property_crimes,nearest_station,dist_to_nearest_metro,name,nearest_station_id,stations_within_400m,stations_within_800m,line,above_ground,transfer_station,total_population,median_household_income,log_pop,pct_white,pct_black_nh,pct_hispanic,pct_bachelors_only,pct_graduate,pct_poverty,pct_unemployed,pct_single_parent,pct_renter,pct_vacant,red_line,green_line,yellow_line,blue_line,orange_line,silver_line,blue_orange_silver_line,green_yellow_line
"Census Tract 22.01, District of Columbia, District of Columbia",2020,EVENING,47,5,42,Georgia Ave Petworth,1298.2680509431775,Georgia Ave Petworth,MetroStnPt_6,0,0,green,0,0,3557,104226,8.176672771948455,0.23025021085184144,0.44363227438852965,0.20466685409052573,0.21197638459375878,0.1473151532190048,0.08799550182738262,0.09333708181051448,0.12169919632606199,0.07918781725888324,0.11573604060913706,0,1,0,0,0,0,0,1
"Census Tract 79.01, District of Columbia, District of Columbia",2020,EVENING,124,23,101,Stadium Armory,1129.8632857659595,Stadium Armory,MetroStnPt_31,0,0,"blue, orange, silver",1,0,5030,83279,8.523175263093785,0.18807157057654075,0.6854870775347912,0.05387673956262425,0.16381709741550696,0.1848906560636183,0.2926441351888668,0.08210735586481113,0.2417721518987342,0.5106861642294713,0.11136107986501688,0,0,0,1,1,1,1,0
"Census Tract 92.03, District of Columbia, District of Columbia",2020,EVENING,42,8,34,Rhode Island Ave,834.6689451739242,Rhode Island Ave,MetroStnPt_11,0,0,red,1,0,3229,87598,8.079927770758275,0.19170021678538246,0.6726540724682565,0.10188912976153608,0.20284917931248064,0.17807370703004027,0.14555589965933727,0.05481573242489935,0.27843426883308714,0.5370101596516691,0.01741654571843251,1,0,0,0,0,0,0,0
"Census Tract 56.01, District of Columbia, District of Columbia",2020,EVENING,30,3,27,Foggy Bottom-GWU,290.66142621492855,Foggy Bottom-GWU,MetroStnPt_21,1,1,"blue, orange, silver",0,0,2388,67840,7.778211474512493,0.6273031825795645,0.03685092127303183,0.15536013400335008,0.2185929648241206,0.41792294807370184,0.3195142378559464,0.03391959798994975,0.01305158483530143,0.6074498567335244,0.23161413562559693,0,0,0,1,1,1,1,0
"Census Tract 47.04, District of Columbia, District of Columbia",2020,EVENING,29,7,22,NoMa - Gallaudet U,783.6593820207828,NoMa - Gallaudet U,MetroStnPt_16,0,1,red,1,0,1852,30174,7.524021415206125,0.0010799136069114472,0.9659827213822895,0.0275377969762419,5.399568034557236e-4,0.048056155507559394,0.37365010799136067,0.12095032397408208,0.4484924623115578,0.7765237020316027,0.10158013544018059,1,0,0,0,0,0,0,0
"Census Tract 39.02, District of Columbia, District of Columbia",2020,EVENING,29,0,29,Woodley Park-Zoo Adams Morgan,620.7879384824178,Woodley Park-Zoo Adams Morgan,MetroStnPt_10,0,1,red,0,0,2274,135211,7.729295674310482,0.6649076517150396,0.06200527704485488,0.12576956904133685,0.23131046613896217,0.38830255057167984,0.0043975373790677225,0.003518029903254178,0,0.48134328358208955,0.10223880597014925,1,0,0,0,0,0,0,0
"Census Tract 10.03, District of Columbia, District of Columbia",2020,EVENING,19,0,19,Tenleytown-AU,1166.7101059529025,Tenleytown-AU,MetroStnPt_4,0,0,red,0,0,2987,230510,8.00202481821611,0.8269166387679946,0.0063608972212922665,0.05758285905590894,0.10913960495480415,0.48577167726816206,0.02912621359223301,0.012052226314027453,0.09394205443371378,0,0,1,0,0,0,0,0,0,0
"Census Tract 95.04, District of Columbia, District of Columbia",2020,EVENING,56,7,49,Brookland-CUA,858.2582972006751,Brookland-CUA,MetroStnPt_8,0,0,red,0,0,3113,113958,8.043342170441608,0.27208480565371024,0.5348538387407645,0.03597815611949887,0.2184388050112432,0.24927722454224222,0.11018310311596531,0.061034371988435594,0.15076660988074958,0.2942989214175655,0.09553158705701079,1,0,0,0,0,0,0,0
"Census Tract 18.04, District of Columbia, District of Columbia",2020,EVENING,91,11,80,Takoma,1456.4567449972644,Takoma,MetroStnPt_1,0,0,red,1,0,5803,47535,8.666130304190608,0.06393244873341375,0.5547130794416681,0.33327589178011374,0.14285714285714285,0.10546269171118387,0.15578149233155264,0.08650697914871618,0.21820117083555082,0.6721474838066767,0.0637767812655705,1,0,0,0,0,0,0,0
"Census Tract 101, District of Columbia, District of Columbia",2020,EVENING,156,15,141,McPherson Sq,218.02279281584453,McPherson Sq,MetroStnPt_19,1,4,"blue, orange, silver",0,0,2773,120483,7.927685045615778,0.5903353768481788,0.12477461233321313,0.1294626758023801,0.23151821132347639,0.4976559682654165,0.10962856112513523,0.0288496213487198,0.04154476301930954,0.6308186195826645,0.08560727661851257,0,0,0,1,1,1,1,0
